year,borough,category,rent
2019,Islington,One Bedroom,1558
2019,Kensington and Chelsea,One Bedroom,2062
2019,Kingston upon Thames,One Bedroom,1123
2019,Lambeth,One Bedroom,1370
2019,Lewisham,One Bedroom,1130
2019,Merton,One Bedroom,1220
2019,Newham,One Bedroom,1202
2019,Redbridge,One Bedroom,1006
2019,Richmond upon Thames,One Bedroom,1242
2019,Southwark,One Bedroom,1419
2019,Sutton,One Bedroom,920
2019,Tower Hamlets,One Bedroom,1494
2019,Waltham Forest,One Bedroom,1089
2019,Wandsworth,One Bedroom,1388
2019,Westminster,One Bedroom,2016
2019,City of London,Two Bedroom,2852
2019,Barking and Dagenham,Two Bedroom,1185
2019,Barnet,Two Bedroom,1439
2019,Bexley,Two Bedroom,1076
2019,Brent,Two Bedroom,1514
2019,Bromley,Two Bedroom,1237
2019,Camden,Two Bedroom,2243
2019,Croydon,Two Bedroom,1195
2019,Ealing,Two Bedroom,1477
2019,Enfield,Two Bedroom,1336
2019,Greenwich,Two Bedroom,1415
2019,Hackney,Two Bedroom,1883
2019,Hammersmith and Fulham,Two Bedroom,1940
2019,Haringey,Two Bedroom,1609
2019,Harrow,Two Bedroom,1320
2019,Havering,Two Bedroom,1102
2019,Hillingdon,Two Bedroom,1277
2019,Hounslow,Two Bedroom,1421
2019,Islington,Two Bedroom,2024
2019,Kensington and Chelsea,Two Bedroom,3209
2019,Kingston upon Thames,Two Bedroom,1384
2019,Lambeth,Two Bedroom,1711
2019,Lewisham,Two Bedroom,1365
2019,Merton,Two Bedroom,1495
2019,Newham,Two Bedroom,1464
2019,Redbridge,Two Bedroom,1273
2019,Richmond upon Thames,Two Bedroom,1650
2019,Southwark,Two Bedroom,1741
2019,Sutton,Two Bedroom,1166
2019,Tower Hamlets,Two Bedroom,1853
2019,Waltham Forest,Two Bedroom,1336
2019,Wandsworth,Two Bedroom,1760
2019,Westminster,Two Bedroom,2845
2011,City of London,Three Bedroom,..
2011,Barking and Dagenham,Three Bedroom,1422
2011,Barnet,Three Bedroom,1894
2011,Bexley,Three Bedroom,1293
2011,Brent,Three Bedroom,1869
2011,Bromley,Three Bedroom,1543
2011,Camden,Three Bedroom,3254
2011,Croydon,Three Bedroom,1450
2011,Ealing,Three Bedroom,1871
2011,Enfield,Three Bedroom,1702
2011,Greenwich,Three Bedroom,1674
2011,Hackney,Three Bedroom,2446
2011,Hammersmith and Fulham,Three Bedroom,2674
2011,Haringey,Three Bedroom,1960
2011,Harrow,Three Bedroom,1621
2011,Havering,Three Bedroom,1356
2011,Hillingdon,Three Bedroom,1470
2011,Hounslow,Three Bedroom,1681
2011,Islington,Three Bedroom,2420
2011,Kensington and Chelsea,Three Bedroom,5054
2011,Kingston upon Thames,Three Bedroom,1693
2011,Lambeth,Three Bedroom,2280
2011,Lewisham,Three Bedroom,1687
2011,Merton,Three Bedroom,1867
2011,Newham,Three Bedroom,1688
2011,Redbridge,Three Bedroom,1564
2019,Richmond upon Thames,Three Bedroom,2205
2019,Southwark,Three Bedroom,2088
2019,Sutton,Three Bedroom,1489
2019,Tower Hamlets,Three Bedroom,2350
2019,Waltham Forest,Three Bedroom,1653
2019,Wandsworth,Three Bedroom,2194
2019,Westminster,Three Bedroom,4181
