year,borough,category,rent
2013,Westminster,Two Bedroom,2604
2011,City of London,Three Bedroom,-
2011,Barking and Dagenham,Three Bedroom,1082
2011,Barnet,Three Bedroom,1776
2011,Bexley,Three Bedroom,1082
2011,Brent,Three Bedroom,1745
2011,Bromley,Three Bedroom,1219
2011,Camden,Three Bedroom,3020
2011,Croydon,Three Bedroom,1180
2011,Ealing,Three Bedroom,1551
2011,Enfield,Three Bedroom,1390
2011,Greenwich,Three Bedroom,1477
2011,Hackney,Three Bedroom,1991
2011,Hammersmith and Fulham,Three Bedroom,2425
2011,Haringey,Three Bedroom,1765
2011,Harrow,Three Bedroom,1381
2011,Havering,Three Bedroom,1041
2011,Hillingdon,Three Bedroom,1249
2011,Hounslow,Three Bedroom,1491
2011,Islington,Three Bedroom,2265
2011,Kensington and Chelsea,Three Bedroom,4786
2011,Kingston upon Thames,Three Bedroom,1563
2011,Lambeth,Three Bedroom,1957
2011,Lewisham,Three Bedroom,1334
2011,Merton,Three Bedroom,1785
2011,Newham,Three Bedroom,1361
2011,Redbridge,Three Bedroom,1259
2011,Richmond upon Thames,Three Bedroom,2118
2011,Southwark,Three Bedroom,1875
2011,Sutton,Three Bedroom,1284
2011,Tower Hamlets,Three Bedroom,2150
2011,Waltham Forest,Three Bedroom,1295
2011,Wandsworth,Three Bedroom,2099
2011,Westminster,Three Bedroom,3666
2014,City of London,One Bedroom,1737
2014,Barking and Dagenham,One Bedroom,708
2014,Barnet,One Bedroom,987
2014,Bexley,One Bedroom,705
2014,Brent,One Bedroom,1030
2014,Bromley,One Bedroom,824
2014,Camden,One Bedroom,1459
2014,Croydon,One Bedroom,785
2014,Ealing,One Bedroom,1131
2014,Enfield,One Bedroom,883
2014,Greenwich,One Bedroom,969
2014,Hackney,One Bedroom,1281
2014,Hammersmith and Fulham,One Bedroom,1302
2014,Haringey,One Bedroom,1103
2014,Harrow,One Bedroom,884
2014,Havering,One Bedroom,689
2014,Hillingdon,One Bedroom,796
2014,Hounslow,One Bedroom,1066
2014,Islington,One Bedroom,1438
2014,Kensington and Chelsea,One Bedroom,1947
2014,Kingston upon Thames,One Bedroom,971
2014,Lambeth,One Bedroom,1180
2014,Lewisham,One Bedroom,906
2014,Merton,One Bedroom,1053
2014,Newham,One Bedroom,929
2014,Redbridge,One Bedroom,777
2014,Richmond upon Thames,One Bedroom,1145
2014,Southwark,One Bedroom,1269
2014,Sutton,One Bedroom,786
2014,Tower Hamlets,One Bedroom,1275
2014,Waltham Forest,One Bedroom,849
